filename	xmlid	author-name	author-gender	title	subgenre	pub-year-ref	firstEdition	digitalSource	printSource
Bataille_Valerie	Bataille_Valerie	Bataille, Thierry	M	Valérie	sentimental	1987	nan	1987	1987
Dark_Vampires	Dark_Vampires	Dark, Jason	M	Vampires en pire	sentimental	1987	nan	1987	1987
RossC_Soupirs	RossC_Soupirs	Ross, Clarissa	F	Les soupirs de la nuit	sentimental	1987	nan	1987	1987
RossM_Chateau	RossM_Chateau	Ross, Marilyn	F	Le Château d'Emeraude	sentimental	1987	nan	1987	1987
Silverberg_Guetteurs	Silverberg_Guetteurs	Silverberg, Robert	M	Les guetteurs des étoiles	scifi	1987	nan	1987	1987
Kellier_Solitaire	Kellier_Solitaire	Kellier, Elizabeth	F	Le solitaire de Craigash	sentimental	1987	nan	1987	1987
Richard_Secrets	Richard_Secrets	Richard, Susan	F	Les Secrets de la maison Kendell	sentimental	1987	nan	1987	1987
Klein_Reve	Klein_Reve	Klein, Gérard	M	Le rêve des forêts	scifi	1987	nan	1987	1987
Derenne_Cylia	Derenne_Cylia	Derenne, Elisabeth	F	Cylia	sentimental	1987	nan	1987	1987
Rice_Malone	Rice_Malone	Rice, Craig	M	Malone quitte Chicago	policier	1988	nan	1988	1988
Ziegler_Cercueil	Ziegler_Cercueil	Ziegler, Thomas	M	Le cercueil de glace	sentimental	1988	nan	1988	1988
Ellroy_Clandestin	Ellroy_Clandestin	Ellroy, James	M	Clandestin	policier	1988	1988	1990	1990
Modiano_Remise	Modiano_Remise	Modiano, Patrick	M	Remise de Peine	blanche	1988	1988	nan	NA
Crispin_Prelude	Crispin_Prelude	Crispin, Edmund	M	Prélude et mort d'Isolde	policier	1988	nan	1988	1988
Hooper_Miroir	Hooper_Miroir	Hooper, Kay	F	Le miroir brisé	sentimental	1988	nan	1988	1988
Jantz_Noces	Jantz_Noces	Jantz, Caroline	F	Les noces de Gwendoline	sentimental	1988	1988	1989, 1990	1989, 1990
Labro_Ete	Labro_Ete	Labro, Philippe	M	Un été dans l'Ouest	blanche	1988	nan	1988	1988
VanDeWetering_Massacre	VanDeWetering_Massacre	van de Wetering, Janwillem	M	Le Massacre du Maine	policier	1988	nan	1988	1988
Bieber_Recommencait	Bieber_Recommencait	Bieber, Janet	F	Si on recommençait...	sentimental	1988	nan	1988	1988
Forest_Disparue	Forest_Disparue	Forest, Regan	M	La disparue de Rosewood	sentimental	1989	nan	1989	1989
Curval_Habite	Curval_Habite	Curval, Philippe	M	Habite-t-on réellement quelque part?	scifi	1989	nan	1989	1989
Bagwell_Deux	Bagwell_Deux	Bagwell, Stella	F	Deux semaines de vacances	sentimental	1989	nan	1989	1989
YoungK_Maison	YoungK_Maison	Young, Karen	F	Dans la maison du lac	sentimental	1989	nan	1989	1989
Tyler_Neiges	Tyler_Neiges	Tyler, Alison	F	Les neiges du Fuji Yama	sentimental	1989	nan	1989	1989
